#period	period time	calc time
1	2246	1003
2	1999	1250
3	1998	1000
4	1998	1501
5	2253	1248
6	1747	1754
7	1996	1007
8	1999	1254
9	1997	1254
10	2000	1250
11	1996	1001
12	1996	2004
13	2249	1252
14	1752	1244
15	1999	1252
16	1996	1250
17	1997	1002
18	2498	1747
19	1999	1002
20	1497	1258
21	2001	1001
22	1998	1508
23	1998	1001
24	2247	1752
25	2002	1248
26	1745	1252
27	1998	1251
28	2007	1495
29	1992	1250
30	2752	1248
31	1497	1499
32	1746	1251
33	1998	1251
34	1997	1500
35	1999	1010
36	2000	1750
37	2746	1257
38	1500	1001
39	1750	999
40	1997	1500
41	1998	1251
42	1997	2010
43	2250	1250
44	1748	1250
45	1998	1007
46	1999	1251
47	1998	1003
48	2997	1003
49	1249	1263
50	1748	1010
51	2000	1005
52	1999	1499
53	1996	2252
54	2499	1251
55	1499	1253
56	1998	1003
57	2011	1243
58	1986	1257
59	2995	1257
60	1752	1251
61	1499	1249
62	1997	1250
63	1751	999
64	1997	1501
65	2497	1259
66	1500	1251
67	1998	1251
68	2255	1246
69	1746	1247
70	1994	1251
71	1998	1750
72	1998	1248
73	2004	995
74	1992	1000
75	1998	1006
76	2250	1255
77	2498	1002
78	1249	1251
79	1998	1250
80	2247	1260
81	1749	1245
82	2251	2000
83	2247	1253
84	1499	1503
85	2248	1251
86	1998	1250
87	1997	1262
88	2001	2003
89	2247	1259
90	1499	1251
91	2248	1251
92	1998	1251
93	2000	1249
94	1995	2000
95	2250	1265
96	1497	1253
97	2256	1246
98	1993	1250
99	1998	1251
100	1999	1997
101	2250	1247
102	1495	1253
103	2248	1251
104	2000	1257
105	1999	1253
106	1999	2000
107	2246	1252
108	1498	1251
109	2247	1262
110	2002	1249
111	1997	1251
112	2249	2001
113	2249	1251
114	1496	1251
115	1998	1252
116	1998	1263
117	2007	1246
118	2244	2004
119	2246	1251
120	1498	1250
121	1998	1250
122	2000	1249
123	1996	1242
124	2256	1995
125	2241	1252
126	1501	1255
127	1997	1251
128	1998	1251
129	1998	1251
130	2247	2001
131	2247	1259
132	1502	1250
133	1997	1257
134	2000	1253
135	1998	1253
136	1998	2000
137	2248	1251
138	1494	1260
139	2261	1248
140	1992	1243
141	1998	1247
142	2244	2006
143	2251	1248
144	1498	1251
145	1998	1252
146	2005	1246
147	1994	1249
148	1995	2002
149	2254	1247
150	1498	1247
151	2245	1250
152	1996	1253
153	1998	1261
154	2501	1751
155	1999	1254
156	1497	1253
157	1997	1251
158	1999	1251
159	1999	1252
160	2000	2001
161	2245	1251
162	1500	1251
163	2252	1250
164	1995	1250
165	1998	1250
166	2247	2001
167	2249	1258
168	1505	1245
169	1992	1251
170	2000	1255
171	1999	1250
172	2499	1750
173	1995	1251
174	1498	1251
175	1998	1262
176	2004	1247
177	1995	1257
178	2003	1997
179	2244	1000
180	1749	1249
181	1997	1252
182	1998	1511
183	1997	1253
184	1998	2012
185	2499	1254
186	1500	1251
187	1999	1251
188	1999	1253
189	1999	1251
190	2254	1994
191	2239	1253
192	1499	1259
193	2000	1001
194	2001	1250
195	1997	1001
196	2496	1764
197	1994	1007
198	1505	1252
199	1997	1258
200	2000	1250
201	2000	999
202	2245	2001
203	2248	1251
204	1498	1261
205	2002	1255
206	1996	1266
207	2001	1263
208	2995	1491
209	2000	1252
210	1748	1251
211	1500	1248
212	1746	1262
213	1997	1273
214	2001	1999
215	2252	1245
216	1492	1251
217	2248	1004
218	1999	1256
219	1998	1263
220	2499	1759
221	1997	1264
222	1500	1258
223	1998	1259
224	1999	1259
225	1998	1253
226	2002	1996
227	2251	1245
228	1743	1250
229	1998	1250
230	1999	1250
231	1996	1249
232	3001	1499
233	1745	1004
234	1252	1000
235	1996	1002
236	1999	1251
237	1999	1252
238	2997	1501
239	1749	1001
240	1249	1251
241	1998	1001
242	1998	1253
243	1999	1251
244	2997	1502
245	1748	1002
246	1499	1252
247	1749	1001
248	1998	1251
249	1998	1006
250	2999	1505
